"source_code","11","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\IAUSER\\Procedures\\SQL180121055539450.sql","d57ed066ad0736388dcee02b87e7d717","DB2","db2dict"
"edge","129","87","108","DIRECT","2"
"edge","130","86","130","DIRECT","2"
"edge","131","121","130","FILTER","2"
"edge","132","145","130","DIRECT","2"
"edge","133","86","107","DIRECT","2"
"edge","134","121","107","FILTER","2"
"edge","135","145","107","DIRECT","2"
"edge","136","85","129","DIRECT","2"
"edge","137","121","129","FILTER","2"
"edge","138","144","129","DIRECT","2"
"edge","139","85","106","DIRECT","2"
"edge","140","121","106","FILTER","2"
"edge","141","144","106","DIRECT","2"
"edge","142","143","128","DIRECT","2"
"edge","143","121","128","FILTER","2"
"edge","144","84","128","DIRECT","2"
"edge","145","143","105","DIRECT","2"
"edge","146","121","105","FILTER","2"
"edge","147","84","105","DIRECT","2"
"edge","148","83","104","DIRECT","2"
"edge","149","142","104","DIRECT","2"
"edge","150","121","104","FILTER","2"
"edge","151","83","127","DIRECT","2"
"edge","152","142","127","DIRECT","2"
"edge","153","121","127","FILTER","2"
"edge","154","121","126","FILTER","2"
"edge","155","141","126","DIRECT","2"
"edge","156","82","126","DIRECT","2"
"edge","157","121","103","FILTER","2"
"edge","158","141","103","DIRECT","2"
"edge","159","82","103","DIRECT","2"
"edge","160","98","119","DIRECT","2"
"edge","161","124","119","DIRECT","2"
"edge","162","121","119","FILTER","2"
"edge","163","97","118","DIRECT","2"
"edge","164","121","118","FILTER","2"
"edge","165","123","118","DIRECT","2"
"edge","166","96","80","DIRECT","2"
"edge","167","155","80","DIRECT","2"
"edge","168","121","80","FILTER","2"
"edge","169","96","62","DIRECT","2"
"edge","170","155","62","DIRECT","2"
"edge","171","121","62","FILTER","2"
"edge","172","154","79","DIRECT","2"
"edge","173","121","79","FILTER","2"
"edge","174","95","79","DIRECT","2"
"edge","175","154","61","DIRECT","2"
"edge","176","121","61","FILTER","2"
"edge","177","95","61","DIRECT","2"
"edge","178","94","60","DIRECT","2"
"edge","179","121","60","FILTER","2"
"edge","180","153","60","DIRECT","2"
"edge","181","94","78","DIRECT","2"
"edge","182","121","78","FILTER","2"
"edge","183","153","78","DIRECT","2"
"edge","184","121","77","FILTER","2"
"edge","185","152","77","DIRECT","2"
"edge","186","93","77","DIRECT","2"
"edge","187","121","59","FILTER","2"
"edge","188","152","59","DIRECT","2"
"edge","189","93","59","DIRECT","2"
"edge","190","151","58","DIRECT","2"
"edge","191","92","58","DIRECT","2"
"edge","192","121","58","FILTER","2"
"edge","193","151","76","DIRECT","2"
"edge","194","92","76","DIRECT","2"
"edge","195","121","76","FILTER","2"
"edge","196","121","75","FILTER","2"
"edge","197","91","75","DIRECT","2"
"edge","198","150","75","DIRECT","2"
"edge","199","121","57","FILTER","2"
"edge","200","91","57","DIRECT","2"
"edge","201","150","57","DIRECT","2"
"edge","202","90","56","DIRECT","2"
"edge","203","149","56","DIRECT","2"
"edge","204","121","56","FILTER","2"
"edge","205","90","74","DIRECT","2"
"edge","206","149","74","DIRECT","2"
"edge","207","121","74","FILTER","2"
"edge","208","121","55","FILTER","2"
"edge","209","148","55","DIRECT","2"
"edge","210","89","55","DIRECT","2"
"edge","211","121","73","FILTER","2"
"edge","212","148","73","DIRECT","2"
"edge","213","89","73","DIRECT","2"
"edge","214","147","72","DIRECT","2"
"edge","215","121","72","FILTER","2"
"edge","216","88","72","DIRECT","2"
"edge","217","147","54","DIRECT","2"
"edge","218","121","54","FILTER","2"
"edge","219","88","54","DIRECT","2"
"edge","220","146","53","DIRECT","2"
"edge","221","121","53","FILTER","2"
"edge","222","87","53","DIRECT","2"
"edge","223","146","71","DIRECT","2"
"edge","224","121","71","FILTER","2"
"edge","225","87","71","DIRECT","2"
"edge","226","121","70","FILTER","2"
"edge","227","145","70","DIRECT","2"
"edge","228","86","70","DIRECT","2"
"edge","229","121","52","FILTER","2"
"edge","230","145","52","DIRECT","2"
"edge","231","86","52","DIRECT","2"
"edge","232","121","69","FILTER","2"
"edge","233","85","69","DIRECT","2"
"edge","234","144","69","DIRECT","2"
"edge","235","121","51","FILTER","2"
"edge","236","85","51","DIRECT","2"
"edge","237","144","51","DIRECT","2"
"edge","238","121","68","FILTER","2"
"edge","239","84","68","DIRECT","2"
"edge","240","143","68","DIRECT","2"
"edge","241","121","50","FILTER","2"
"edge","242","84","50","DIRECT","2"
"edge","243","143","50","DIRECT","2"
"edge","244","121","49","FILTER","2"
"edge","245","142","49","DIRECT","2"
"edge","246","83","49","DIRECT","2"
"edge","247","121","67","FILTER","2"
"edge","248","142","67","DIRECT","2"
"edge","249","83","67","DIRECT","2"
"edge","250","82","48","DIRECT","2"
"edge","251","121","48","FILTER","2"
"edge","252","141","48","DIRECT","2"
"edge","253","82","66","DIRECT","2"
"edge","254","121","66","FILTER","2"
"edge","255","141","66","DIRECT","2"
"edge","256","98","64","DIRECT","2"
"edge","257","121","64","FILTER","2"
"edge","258","124","64","DIRECT","2"
"edge","259","123","63","DIRECT","2"
"edge","260","97","63","DIRECT","2"
"edge","261","121","63","FILTER","2"
"edge","262","122","136","FILTER","2"
"edge","263","123","136","FILTER","2"
"edge","264","156","136","FILTER","2"
"edge","265","124","136","FILTER","2"
"edge","266","98","136","FILTER","2"
"edge","267","97","136","FILTER","2"
"edge","268","122","107","FILTER","2"
"edge","269","123","107","FILTER","2"
"edge","270","156","107","FILTER","2"
"edge","271","124","107","FILTER","2"
"edge","272","98","107","FILTER","2"
"edge","273","97","107","FILTER","2"
"edge","274","122","102","FILTER","2"
"edge","275","121","102","FILTER","2"
"edge","276","123","102","FILTER","2"
"edge","277","156","102","FILTER","2"
"edge","278","124","102","FILTER","2"
"edge","279","98","102","FILTER","2"
"edge","280","97","102","FILTER","2"
"edge","281","122","119","FILTER","2"
"edge","282","123","119","FILTER","2"
