"source_code","5","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\DWH\\Procedures\\SQL180710124951056.sql","15dba04a2d0401391cd85e8485b9b5c5","DB2","db2dict"
"edge","284","35","81","FILTER","2"
"edge","285","87","81","FILTER","2"
"edge","286","86","81","FILTER","2"
"edge","287","38","81","FILTER","2"
"edge","288","43","81","FILTER","2"
"edge","289","37","81","FILTER","2"
"edge","290","41","81","FILTER","2"
"edge","291","88","81","FILTER","2"
"edge","292","94","81","FILTER","2"
"edge","293","45","81","FILTER","2"
"edge","294","89","81","FILTER","2"
"edge","295","96","81","FILTER","2"
"edge","296","39","81","FILTER","2"
"edge","297","92","82","FILTER","2"
"edge","298","91","82","FILTER","2"
"edge","299","44","82","FILTER","2"
"edge","300","47","82","FILTER","2"
"edge","301","97","82","FILTER","2"
"edge","302","93","82","FILTER","2"
"edge","303","95","82","FILTER","2"
"edge","304","40","82","FILTER","2"
"edge","305","36","82","FILTER","2"
"edge","306","90","82","FILTER","2"
"edge","307","46","82","FILTER","2"
"edge","308","35","82","FILTER","2"
"edge","309","87","82","FILTER","2"
"edge","310","86","82","FILTER","2"
"edge","311","38","82","FILTER","2"
"edge","312","43","82","FILTER","2"
"edge","313","37","82","FILTER","2"
"edge","314","41","82","FILTER","2"
"edge","315","88","82","FILTER","2"
"edge","316","94","82","FILTER","2"
"edge","317","45","82","FILTER","2"
"edge","318","89","82","FILTER","2"
"edge","319","96","82","FILTER","2"
"edge","320","39","82","FILTER","2"
"edge","321","92","76","FILTER","2"
"edge","322","91","76","FILTER","2"
"edge","323","44","76","FILTER","2"
"edge","324","47","76","FILTER","2"
"edge","325","97","76","FILTER","2"
"edge","326","93","76","FILTER","2"
"edge","327","95","76","FILTER","2"
"edge","328","40","76","FILTER","2"
"edge","329","36","76","FILTER","2"
"edge","330","90","76","FILTER","2"
"edge","331","46","76","FILTER","2"
"edge","332","35","76","FILTER","2"
"edge","333","87","76","FILTER","2"
"edge","334","86","76","FILTER","2"
"edge","335","38","76","FILTER","2"
"edge","336","43","76","FILTER","2"
"edge","337","37","76","FILTER","2"
"edge","338","41","76","FILTER","2"
"edge","339","88","76","FILTER","2"
"edge","340","94","76","FILTER","2"
"edge","341","45","76","FILTER","2"
"edge","342","89","76","FILTER","2"
"edge","343","96","76","FILTER","2"
"edge","344","39","76","FILTER","2"
"edge","345","92","84","FILTER","2"
"edge","346","91","84","FILTER","2"
"edge","347","44","84","FILTER","2"
"edge","348","47","84","FILTER","2"
"edge","349","97","84","FILTER","2"
"edge","350","93","84","FILTER","2"
"edge","351","95","84","FILTER","2"
"edge","352","40","84","FILTER","2"
"edge","353","36","84","FILTER","2"
"edge","354","90","84","FILTER","2"
"edge","355","46","84","FILTER","2"
"edge","356","35","84","FILTER","2"
"edge","357","87","84","FILTER","2"
"edge","358","86","84","FILTER","2"
"edge","359","38","84","FILTER","2"
"edge","360","43","84","FILTER","2"
"edge","361","37","84","FILTER","2"
"edge","362","41","84","FILTER","2"
"edge","363","88","84","FILTER","2"
"edge","364","94","84","FILTER","2"
"edge","365","45","84","FILTER","2"
"edge","366","89","84","FILTER","2"
"edge","367","96","84","FILTER","2"
"edge","368","39","84","FILTER","2"
"edge","369","92","75","FILTER","2"
"edge","370","91","75","FILTER","2"
"edge","371","44","75","FILTER","2"
"edge","372","47","75","FILTER","2"
"edge","373","97","75","FILTER","2"
"edge","374","93","75","FILTER","2"
"edge","375","95","75","FILTER","2"
"edge","376","40","75","FILTER","2"
"edge","377","36","75","FILTER","2"
"edge","378","90","75","FILTER","2"
"edge","379","46","75","FILTER","2"
"edge","380","35","75","FILTER","2"
"edge","381","87","75","FILTER","2"
"edge","382","86","75","FILTER","2"
"edge","383","38","75","FILTER","2"
"edge","384","43","75","FILTER","2"
"edge","385","37","75","FILTER","2"
"edge","386","41","75","FILTER","2"
"edge","387","88","75","FILTER","2"
"edge","388","94","75","FILTER","2"
"edge","389","45","75","FILTER","2"
"edge","390","89","75","FILTER","2"
"edge","391","96","75","FILTER","2"
"edge","392","39","75","FILTER","2"
"edge","393","92","85","FILTER","2"
"edge","394","91","85","FILTER","2"
"edge","395","44","85","FILTER","2"
"edge","396","47","85","FILTER","2"
"edge","397","97","85","FILTER","2"
"edge","398","93","85","FILTER","2"
"edge","399","95","85","FILTER","2"
"edge","400","40","85","FILTER","2"
"edge","401","36","85","FILTER","2"
"edge","402","90","85","FILTER","2"
"edge","403","46","85","FILTER","2"
"edge","404","35","85","FILTER","2"
"edge","405","87","85","FILTER","2"
"edge","406","86","85","FILTER","2"
"edge","407","38","85","FILTER","2"
"edge","408","43","85","FILTER","2"
"edge","409","37","85","FILTER","2"
"edge","410","41","85","FILTER","2"
"edge","411","88","85","FILTER","2"
"edge","412","94","85","FILTER","2"
"edge","413","45","85","FILTER","2"
"edge","414","89","85","FILTER","2"
"edge","415","96","85","FILTER","2"
"edge","416","39","85","FILTER","2"
"edge","417","92","79","FILTER","2"
"edge","418","91","79","FILTER","2"
"edge","419","44","79","FILTER","2"
"edge","420","47","79","FILTER","2"
"edge","421","97","79","FILTER","2"
"edge","422","93","79","FILTER","2"
"edge","423","95","79","FILTER","2"
"edge","424","40","79","FILTER","2"
"edge","425","36","79","FILTER","2"
"edge","426","90","79","FILTER","2"
"edge","427","46","79","FILTER","2"
"edge","428","35","79","FILTER","2"
"edge","429","87","79","FILTER","2"
"edge","430","86","79","FILTER","2"
"edge","431","38","79","FILTER","2"
"edge","432","43","79","FILTER","2"
"edge","433","37","79","FILTER","2"
"edge","434","41","79","FILTER","2"
"edge","435","88","79","FILTER","2"
"edge","436","94","79","FILTER","2"
"edge","437","45","79","FILTER","2"
"edge","438","89","79","FILTER","2"
"edge","439","96","79","FILTER","2"
"edge","440","39","79","FILTER","2"
"edge","441","34","54","FILTER","2"
"edge","442","69","54","FILTER","2"
